"id","categoryId","images","isActive","createdAt","updatedAt","links","backgroundColor","heroGradientFrom","heroGradientTo","heroGradientVia","isGradient","isTransparent","backgroundImage"
"cmmhvkene0002w8q59febb99i","","[""/uploads/5a02ef92-4e29-46e0-896d-c4ff1f74833e-panosehir4.png"",""/uploads/c722c7dd-689a-4e87-8f4b-79def7e4a834-izmir3.webp"",""/uploads/0f2f89ce-d17b-4a91-b1dd-583e7be9ec04-izmir2.webp"",""/uploads/dfa5f6be-f93e-4882-b1f0-cd5f5ff0ab59-izmir4.webp"",""/uploads/fce0aa70-a397-4972-9201-b6fb0fa5821e-izmir5.webp""]","1","2026-03-08T14:56:06.699Z","2026-03-08T21:06:54.725Z","["""","""","""","""",""""]","#f8f9fa","#facc15","#a855f7","#f472b6","0","1","/uploads/342cca74-a442-4f0a-a1a2-b1193cb1f183-izmir3.webp"
"cmmi00p3n0000w8b0fwjyxs8e","cmmhv4m76000dw8z0uyxrcpjh","[]","1","2026-03-08T17:00:45.204Z","2026-03-08T21:03:45.706Z","[]","#f8f9fa","#facc15","#a855f7","#f472b6","0","0",""
"cmmi9hgsr000aw8i53f2glxg2","cmmi9hgrq0009w8i59gfpxacc","[]","1","2026-03-08T21:25:44.139Z","2026-03-11T02:36:13.047Z","[]","#f8f9fa","#facc15","#a855f7","#f472b6","0","0",""
"cmmi9m7zn000dw8i5bp7pnp85","cmmi9m7y5000cw8i5fwch41rs","[]","1","2026-03-08T21:29:26.004Z","2026-03-11T02:55:17.954Z","[]","#f8f9fa","#facc15","#a855f7","#f472b6","0","0",""
"cmmi9ns43000gw8i55odxspz7","cmmi9ns2p000fw8i5r8cf022t","[]","1","2026-03-08T21:30:38.739Z","2026-03-09T00:08:11.548Z","[]","#f8f9fa","#facc15","#a855f7","#f472b6","0","0",""
"cmml8sl3t0002w8d60kkuuxwk","cmml8sl2h0001w8d60znomu47","[""/uploads/913969ba-9676-4330-8812-7fedcec564db-panosehir4.png""]","1","2026-03-10T23:29:41.849Z","2026-03-11T00:18:34.057Z","[]","#f8f9fa","#facc15","#a855f7","#f472b6","0","1",""
