"id","name","description","parentId","createdAt","updatedAt","heroBackgroundImage","heroSubtitle","heroTitleFont","heroTitleColor","heroTitleSize","heroSubtitleFont","heroSubtitleColor","heroSubtitleSize","heroGradientFrom","heroGradientVia","heroGradientTo","categoryFont","categoryColor","categoryBgColor","postCount","userGroupId","cityId","districtId","heroAlignment","backgroundColor","backgroundImage","borderBottomColor","borderColor","borderTopColor","gradientFrom","gradientTo","gradientVia","isGradient","isWallTransparent","noBorder","navMenuBgColor","navMenuFont","navMenuFontSize","navMenuMainBold","navMenuTextColor","siteBackgroundColor","siteBackgroundImage","siteGradientFrom","siteGradientTo","siteGradientVia","siteIsGradient","contactEmail","contactName","contactPhone","isHeroTransparent","isWallBackgroundRepeat","ribbonColor","homeCategoryIds","postitLimit"
"cmmhv4m76000dw8z0uyxrcpjh","Eğitim","Eğitim ve öğrenme kaynakları","","2026-03-08T14:43:49.987Z","2026-03-11T01:43:14.851Z","","","sans-serif","#ffffff","5xl","sans-serif","#ffffff","xl","#facc15","#f472b6","#a855f7","sans-serif","#1f2937","#ffffff","-1","","","","left","","/uploads/7e376aa1-56f5-4da4-9ef0-d786ce553506-mantar.png","","","","#facc15","#a855f7","#f472b6","0","0","1","","sans-serif","14","1","","","","","","","0","","","","0","1","#209228","","0"
"cmmhvhwof0001w8q547vndb0c","Ana Duvar","Tüm Kategoriler","","2026-03-08T14:54:10.095Z","2026-03-11T00:58:20.695Z","","","sans-serif","#ffffff","5xl","sans-serif","#ffffff","xl","#facc15","#f472b6","#a855f7","sans-serif","#1f2937","#ffffff","0","cmmifkfzs0000w8k816wu7s2u","","","left","","","","","","#facc15","#a855f7","#f472b6","0","0","0","","sans-serif","14","1","","","","","","","0","","","","0","1","#502bb1","","0"
"cmmi9hgrq0009w8i59gfpxacc","Üniversiteler","Üniversiteler","","2026-03-08T21:25:44.102Z","2026-03-11T02:54:45.421Z","","","sans-serif","#ffffff","5xl","sans-serif","#ffffff","xl","#facc15","#f472b6","#a855f7","sans-serif","#1f2937","#ffffff","2","","","","left","","","","","","#facc15","#a855f7","#f472b6","0","0","0","","sans-serif","14","1","","","","","","","0","","","","0","1","#443c58","[""cmmi9ns2p000fw8i5r8cf022t"",""cmmi9m7y5000cw8i5fwch41rs""]","10"
"cmmi9m7y5000cw8i5fwch41rs","Ege Üniversitesi","Ege Üniversitesi","cmmi9hgrq0009w8i59gfpxacc","2026-03-08T21:29:25.950Z","2026-03-11T02:55:16.551Z","","","sans-serif","#ffffff","5xl","sans-serif","#ffffff","xl","#facc15","#f472b6","#a855f7","sans-serif","#1f2937","#ffffff","0","cmmi9fwpc0006w8i5z29vd3gx","cmmi8iqil00qiw8in5nbsj7gk","cmmi8iqjc00qww8inr5ro09xe","left","","","","","","#facc15","#a855f7","#f472b6","0","0","0","","sans-serif","14","1","","","","","","","0","","","","0","1","#4d14db","[]","10"
"cmmi9ns2p000fw8i5r8cf022t","9 Eylül Üniversitesi","9 Eylül Üniversitesi","cmmi9hgrq0009w8i59gfpxacc","2026-03-08T21:30:38.690Z","2026-03-11T01:43:14.853Z","","","sans-serif","#ffffff","5xl","sans-serif","#ffffff","xl","#facc15","#f472b6","#a855f7","sans-serif","#1f2937","#ffffff","0","","cmmi8iqil00qiw8in5nbsj7gk","cmmi8iqjg00qyw8inowc87ned","left","","","","","","#facc15","#a855f7","#f472b6","0","0","0","","sans-serif","14","1","","","","","","","0","","","","0","1","#f20742","","0"
"cmml8sl2h0001w8d60znomu47","Panoda İzmir","Panoda İzmir","","2026-03-10T23:29:41.801Z","2026-03-11T01:43:14.860Z","","","sans-serif","#ffffff","5xl","sans-serif","#ffffff","xl","#facc15","#f472b6","#a855f7","sans-serif","#1f2937","#ffffff","1","","cmmi8iqil00qiw8in5nbsj7gk","","left","","/uploads/0b67adae-cb39-4d2a-930f-81cd41caddb9-sehirzeminizmir1.jpeg","","","","#facc15","#a855f7","#f472b6","0","0","1","","sans-serif","14","1","","","/uploads/c8a6f575-e2b6-4330-b548-92fc5526a705-sehirzeminizmir1.jpeg","","","","0","","","","1","0","#29a3b3","","0"
