id,title,imageUrl,link,positions,categoryId,createdBy,isActive,startDate,endDate,createdAt,updatedAt
cmmsdk1rn0001w8k3edt9f1oj,Kaclira Test,https://api.kaclira.com/storage/advertisements/9QV49KibjJ1ec8tRLxlVblKRW57NOcRVHCiSxbon.jpg,https://kaclira.com/giris,"[""NATIVE"",""MARQUEE"",""SEPARATOR"",""TOP_BANNER"",""BOTTOM_BANNER""]",,cmmhv4lur0000w8z0r17p4hcz,true,2026-03-09T18:43:00.000Z,2026-03-14T18:44:00.000Z,2026-03-15T23:17:24.850Z,2026-03-16T00:57:15.204Z
cmmse8bck000bw8c6gei638ub,CNNden,https://tpc.googlesyndication.com/simgad/6827470969224871781,https://googleads.g.doubleclick.net/pcs/click?xai=AKAOjsvnS1vZ7OZrYyHlt-2EeR6fxTnLaD_wTLo2oXLNbTqHJ5uySJsuSksc2u8__oeZRvNB9Mx3Iiu4l-PD4XizhJERc9YscOk5__jjRIvakyI77L9qZ9yOYtvxbVGd8g5Mg_ZZ5bb8f5YDl0rXqU9L4Xt2Fyqu5Diur_X2UyoppwgdfSDVycN2T3Pe_9ZxRM4dlhC-ZZdZ4W71LDalkQYLs1sIaDISSpR_GaUXhm9u8-6wS2L2sodTq04DEaFeQ6wkeHjLM0onZPwyGRYUCZPxW3j_qlhG3pZXuXID-72puZ0sNwAfaTFYqRVLEUvpYh2jPT6zNoxeVa3O5okiKtOdgQ0a4pJum439bScyKFPnakOWAX0rnyBBcomWPtxBqVGj-rca-FDl3fgz9INh19f8dq_QK6kXbEEVVW8avHRFcgi13w&sai=AMfl-YQCjuyboGFfAe_ljBqRzlXW1kR_VphrW0k7-vROBGYkuIqDAj2rln_qvND8U9B3k6cBpHUP0fYbyrFbfDGp5VQ-cY0qDLg85ZepkwcCNl4QzhbF3868X36CcEwgjmcUruH74ISd6otq_XGJYP7jVhAgvYoDf78n3Zp51aRmW9jDPBI7rtw3Fcu2kVe_Hg1Wq_B0z4jnhmU_2a4bN76BDNGrI0Ook9lhVZrE0E0j06mg7xbbGShqoW-JhIwEpZWlE1tAa3tpDSvyLhSxLFzB3FsKf4uTN0hV9K7NFD4FoAcOisLHh8_Ol6Py_9-uXij-07xeJfeN&sig=Cg0ArKJSzKwhC4Rp_lMD&fbs_aeid=%5Bgw_fbsaeid%5D&adurl=https://yilinsporcusu.milliyet.com.tr/%3Futm_source%3Dmedyanet%26utm_medium%3Ddisplay-dm&nm=4&nx=288&ny=-774&mb=2,"[""NATIVE"",""SIDEBAR_RIGHT"",""SIDEBAR_LEFT"",""MARQUEE""]",,cmmhv4lur0000w8z0r17p4hcz,false,,,2026-03-15T23:36:17.011Z,2026-03-17T12:11:25.618Z
cmmsf20em0001w8qhe8yys27d,cnn2,https://tpc.googlesyndication.com/simgad/6827470969224871781,https://googleads.g.doubleclick.net/pcs/click?xai=AKAOjsvnS1vZ7OZrYyHlt-2EeR6fxTnLaD_wTLo2oXLNbTqHJ5uySJsuSksc2u8__oeZRvNB9Mx3Iiu4l-PD4XizhJERc9YscOk5__jjRIvakyI77L9qZ9yOYtvxbVGd8g5Mg_ZZ5bb8f5YDl0rXqU9L4Xt2Fyqu5Diur_X2UyoppwgdfSDVycN2T3Pe_9ZxRM4dlhC-ZZdZ4W71LDalkQYLs1sIaDISSpR_GaUXhm9u8-6wS2L2sodTq04DEaFeQ6wkeHjLM0onZPwyGRYUCZPxW3j_qlhG3pZXuXID-72puZ0sNwAfaTFYqRVLEUvpYh2jPT6zNoxeVa3O5okiKtOdgQ0a4pJum439bScyKFPnakOWAX0rnyBBcomWPtxBqVGj-rca-FDl3fgz9INh19f8dq_QK6kXbEEVVW8avHRFcgi13w&sai=AMfl-YQCjuyboGFfAe_ljBqRzlXW1kR_VphrW0k7-vROBGYkuIqDAj2rln_qvND8U9B3k6cBpHUP0fYbyrFbfDGp5VQ-cY0qDLg85ZepkwcCNl4QzhbF3868X36CcEwgjmcUruH74ISd6otq_XGJYP7jVhAgvYoDf78n3Zp51aRmW9jDPBI7rtw3Fcu2kVe_Hg1Wq_B0z4jnhmU_2a4bN76BDNGrI0Ook9lhVZrE0E0j06mg7xbbGShqoW-JhIwEpZWlE1tAa3tpDSvyLhSxLFzB3FsKf4uTN0hV9K7NFD4FoAcOisLHh8_Ol6Py_9-uXij-07xeJfeN&sig=Cg0ArKJSzKwhC4Rp_lMD&fbs_aeid=%5Bgw_fbsaeid%5D&adurl=https://yilinsporcusu.milliyet.com.tr/%3Futm_source%3Dmedyanet%26utm_medium%3Ddisplay-dm&nm=4&nx=288&ny=-774&mb=2,"[""NATIVE"",""SIDEBAR_LEFT"",""SIDEBAR_RIGHT"",""MARQUEE""]",,cmmhv4lur0000w8z0r17p4hcz,false,,,2026-03-15T23:59:22.511Z,2026-03-17T12:11:13.648Z
cmmsf56pw0003w8qhaq54hcu8,kaclira2,https://api.kaclira.com/storage/advertisements/9QV49KibjJ1ec8tRLxlVblKRW57NOcRVHCiSxbon.jpg,https://kaclira.com/giris,"[""NATIVE"",""SEPARATOR"",""MARQUEE"",""TOP_BANNER""]",,cmmhv4lur0000w8z0r17p4hcz,true,2026-03-09T21:43:00.000Z,2026-03-16T21:43:00.000Z,2026-03-16T00:01:50.660Z,2026-03-16T00:57:23.778Z
