id,name,description,parentId,createdAt,updatedAt,heroBackgroundImage,isHeroTransparent,heroSubtitle,heroTitleFont,heroTitleColor,heroTitleSize,heroSubtitleFont,heroSubtitleColor,heroSubtitleSize,heroGradientFrom,heroGradientVia,heroGradientTo,categoryFont,categoryColor,categoryBgColor,ribbonColor,postCount,userGroupId,cityId,districtId,heroAlignment,backgroundColor,backgroundImage,borderBottomColor,borderColor,borderTopColor,gradientFrom,gradientTo,gradientVia,isGradient,isWallTransparent,isWallBackgroundRepeat,noBorder,navMenuBgColor,navMenuFont,navMenuFontSize,navMenuMainBold,navMenuTextColor,siteBackgroundColor,siteBackgroundImage,siteGradientFrom,siteGradientTo,siteGradientVia,siteIsGradient,contactName,contactPhone,contactEmail,homeCategoryIds,postitLimit,order,icon,logoUrl,logoPosition,logoSize,useParentLogo,useCustomLayout,customLayout
cmmuh4vr50001w8wtt7bqv9mc,ETKİNLİKLER & KÜLTÜR & SANAT,Etkinlikler & Kültür & Sanat,,2026-03-17T10:33:08.032Z,2026-03-17T18:54:08.259Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,🎬,,top-right,medium,false,false,"[]"
cmmuh5fxg0004w8wtvnivnd9j,Konserler,Konserler,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:33:34.179Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuh61kz0007w8wtc0tm11gr,Söyleşiler,Söyleşiler,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:34:02.243Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,10,,,top-right,medium,false,false,"[]"
cmmuh6pzv000aw8wtse8wpplc,Sinema,Sinema,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:34:33.883Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,20,,,top-right,medium,false,false,"[]"
cmmuh7awk000dw8wttcr3a2wy,Tiytro,Tiyatro,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:35:00.980Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,30,,,top-right,medium,false,false,"[]"
cmmuh7ptl000gw8wt3iilf3js,Şiir,Şiir,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:35:20.313Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,40,,,top-right,medium,false,false,"[]"
cmmuh8gae000jw8wtf4egdphf,Yazar İmza Günleri,Yazar İmza Günleri,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:35:54.614Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,50,,,top-right,medium,false,false,"[]"
cmmuh8xfi000mw8wt0wpqbl19,Gösteriler,Gösteriler,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:36:16.830Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,60,,,top-right,medium,false,false,"[]"
cmmuh9lxe000pw8wtvcma62f1,Sokak Etkinlikleri,Sokak Etkinlikleri,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:36:48.578Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,70,,,top-right,medium,false,false,"[]"
cmmuha85f000sw8wtlz4p5mkj,Müzaiyedeler,Müzaiyedeler,cmmuh4vr50001w8wtt7bqv9mc,2026-03-17T10:37:17.379Z,2026-03-17T10:39:54.327Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,80,,,top-right,medium,false,false,"[]"
